k,inertia,silhouette_score
2,222.36170496502294,0.5817500491982808
3,139.82049635974974,0.45994823920518646
4,114.09254690403088,0.38694104154427816
5,90.92751382392046,0.3459012795948778
6,81.54439095511779,0.3170794019356902
7,72.63114382667186,0.3201967939183684
8,62.5406056957812,0.33869173894897225
