cluster,sepal_length_cm,sepal_width_cm,petal_length_cm,petal_width_cm
1,5.80188679245283,2.6735849056603773,4.3698113207547165,1.4132075471698113
2,5.006,3.428,1.462,0.24600000000000002
3,6.780851063829787,3.095744680851064,5.51063829787234,1.972340425531915
